INST CYCLE PERC BEST FIT SOL
PARM 0 30 45.23809523809524 45.23809523809524 [00000000001000000101011100110000000000000001110100000000000001010011000000000001000100000000000000]
PARM 1 30 44.44444444444444 44.44444444444444 [10000000001000010111101001100000000000000000110100000000000001000010000000001101001100000000000000]
PARM 2 30 45.23809523809524 45.23809523809524 [10000000001000000101111100110000000000000000111100000000000001010011000000000011000100000000000000]
PARM 3 30 44.21768707482993 44.21768707482993 [10100000001000010100011100110000000000000001110100000000000001100011000000001101000000000000000000]
PARM 4 30 45.23809523809524 45.23809523809524 [10000000001000010111011100110000000000000001111100000000000001111010000000000001000100000000000000]
PARM 5 30 45.23809523809524 45.23809523809524 [00000000000000010111011101110000000000000000111100000000000101011011000000000011001100000000000000]
PARM 6 30 45.23809523809524 45.23809523809524 [00000100001000010111011000110000000000000000111100000000000001111010000000000001000100000000000000]
PARM 7 30 44.78458049886621 44.78458049886621 [10110100000000010111010001110000000000000000110100000000000101100010000000000001000100000000000000]
PARM 8 30 45.23809523809524 45.23809523809524 [00000000001000011101111001110000000000000001111100000000000001100010000000000001000100000000000000]
PARM 9 30 45.23809523809524 45.23809523809524 [10000100001000010101111101110000000000000000110100000000000001010011000000000011001100000000000000]
PARM 10 30 45.23809523809524 45.23809523809524 [10000000001000001111011100110000000000000000110100000000000101000010000000000011001100000000000000]
PARM 11 30 45.23809523809524 45.23809523809524 [00000100000000010101111001110000000000000001111100000000000001010010000000000001000100000000000000]
PARM 12 30 45.23809523809524 45.23809523809524 [10000100000000011101111001110000000000000000111100000000000001100010000000000011000100000000000000]
PARM 13 30 45.23809523809524 45.23809523809524 [00000000000000010101111000110000000000000000110100000000000001011010000000000001000100000000000000]
PARM 14 30 44.44444444444444 44.44444444444444 [00000000000000010111001100100000000000000001110100000000000101100010000000001101000100000000000000]
PARM 15 30 43.53741496598639 43.53741496598639 [10000100000000010101011001111000000000000000111100000000000000000000000000011101000100000000000000]
PARM 16 30 45.23809523809524 45.23809523809524 [10000100001000011111111001110000000000000001110100000000000001000010000000000011001100000000000000]
PARM 17 30 45.23809523809524 45.23809523809524 [10000100001000010111011101110000000000000001111100000000000101010010000000000011000100000000000000]
PARM 18 30 45.23809523809524 45.23809523809524 [10000100000000000101111001110000000000000000111100000000000001110011000000000011000100000000000000]
PARM 19 30 45.01133786848072 45.01133786848072 [10000100001000010111011101110000000000000000111100000000000111001011000000000011001100000000000000]
PARM 20 30 45.23809523809524 45.23809523809524 [00000100000000010101011100110000000000000001111100000000000101110011000000000011000100000000000000]
PARM 21 30 45.23809523809524 45.23809523809524 [00000000000000010101011101110000000000000000110100000000000101011011000000000011000100000000000000]
PARM 22 30 45.23809523809524 45.23809523809524 [00000000000000010101111101110000000000000000111100000000000101111010000000000011001100000000000000]
PARM 23 30 45.23809523809524 45.23809523809524 [00000000000000011101011001110000000000000001110100000000000101001011000000000011000100000000000000]
PARM 24 30 45.23809523809524 45.23809523809524 [00000100000000000111011001110000000000000000111100000000000101011010000000000011001100000000000000]
PARM 25 30 45.23809523809524 45.23809523809524 [10000100001000000101111000110000000000000000110100000000000001011010000000000011000100000000000000]
PARM 26 30 43.87755102040816 43.87755102040816 [10100101101000010111011100010000000000000000111100000000000101111111000000000011000000000000000000]
PARM 27 30 44.44444444444444 44.44444444444444 [10000000001000010101001100100000000000000000111100000000000101101011000000001101000100000000000000]
PARM 28 30 45.01133786848072 45.01133786848072 [00110100001000010111111000110000000000000001110000000000000001101011000000000011000100000000000000]
PARM 29 30 45.01133786848072 45.01133786848072 [00100000001000010110011000110000000000000001111100000000000101000011000000000001001100000000000000]
