APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
DOM4J;PSEUD;1635898;18.43;4;12
DOM4J;PSEUD;1635851;18.36;5;11
DOM4J;PSEUD;1633121;18.49;6;11
DOM4J;PSEUD;1637177;18.28;7;12
DOM4J;PSEUD;1634900;18.52;8;12
DOM4J;PSEUD;1634899;18.42;9;11
DOM4J;PSEUD;1636693;18.48;10;12
DOM4J;PSEUD;1639361;18.46;11;11
DOM4J;PSEUD;1638831;18.45;12;12
DOM4J;PSEUD;1639408;18.47;13;12
DOM4J;PSEUD;1639064;18.46;14;12
DOM4J;PSEUD;1639549;18.45;15;11
DOM4J;PSEUD;1635929;18.47;16;12
DOM4J;PSEUD;1636569;18.36;17;11
DOM4J;PSEUD;1637972;18.52;18;11
DOM4J;PSEUD;1636304;18.44;19;12
DOM4J;PSEUD;1637645;18.52;20;12
DOM4J;PSEUD;1635164;18.41;21;12
DOM4J;PSEUD;1637677;18.41;22;12
DOM4J;PSEUD;1637161;18.48;23;12
DOM4J;PSEUD;1636865;18.52;24;11
DOM4J;PSEUD;1636117;18.32;25;12
DOM4J;PSEUD;1634291;18.44;26;11
DOM4J;PSEUD;1635117;18.30;27;12
DOM4J;PSEUD;1636444;18.39;28;12
DOM4J;PSEUD;1635212;18.45;29;11
DOM4J;SOBOL;1614058;14.07;0;8
JXLSREADER;PSEUD;891;3.59;0;102
JXLSREADER;PSEUD;873;3.60;1;102
JXLSREADER;PSEUD;890;3.60;2;104
JXLSREADER;PSEUD;890;3.60;3;102
JXLSREADER;PSEUD;874;3.60;4;104
JXLSREADER;PSEUD;889;3.60;5;102
JXLSREADER;PSEUD;876;3.60;6;102
JXLSREADER;PSEUD;874;3.60;7;102
JXLSREADER;PSEUD;890;3.60;8;104
JXLSREADER;PSEUD;889;3.60;9;102
JXLSREADER;PSEUD;875;3.60;10;103
JXLSREADER;PSEUD;889;3.60;11;103
JXLSREADER;PSEUD;890;3.59;12;102
JXLSREADER;PSEUD;874;3.60;13;103
JXLSREADER;PSEUD;890;3.60;14;103
JXLSREADER;PSEUD;889;3.60;15;103
JXLSREADER;PSEUD;875;3.60;16;104
JXLSREADER;PSEUD;889;3.60;17;107
