APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
JAVAOCR;PSEUD;11264;46.00;21;75
JAVAOCR;PSEUD;11265;46.00;22;74
JAVAOCR;PSEUD;11251;46.00;23;74
JAVAOCR;PSEUD;11264;46.00;24;74
JAVAOCR;PSEUD;11264;46.00;25;74
JAVAOCR;PSEUD;11249;46.00;26;74
JAVAOCR;PSEUD;11234;46.00;27;75
JAVAOCR;PSEUD;11249;46.00;28;73
JAVAOCR;PSEUD;11264;46.00;29;75
JAVAOCR;SOBOL;11404;46.00;0;52
DOM4J;PSEUD;1282512;181.00;0;27
DOM4J;PSEUD;1284104;184.00;1;27
DOM4J;PSEUD;1280937;183.00;2;27
DOM4J;PSEUD;1282230;183.00;3;27
DOM4J;PSEUD;1282323;182.00;4;27
DOM4J;PSEUD;1282965;181.00;5;27
DOM4J;PSEUD;1282091;184.00;6;27
DOM4J;PSEUD;1281904;183.00;7;27
DOM4J;PSEUD;1283853;181.00;8;27
DOM4J;PSEUD;1284944;183.00;9;27
DOM4J;PSEUD;1286563;183.00;10;27
DOM4J;PSEUD;1285022;183.00;11;27
DOM4J;PSEUD;1283946;182.00;12;27
DOM4J;PSEUD;1284912;182.00;13;27
DOM4J;PSEUD;1285046;182.00;14;27
DOM4J;PSEUD;1285646;182.00;15;27
DOM4J;PSEUD;1284507;182.00;16;27
DOM4J;PSEUD;1285303;185.00;17;27
DOM4J;PSEUD;1286987;185.00;18;27
DOM4J;PSEUD;1285356;182.00;19;27
DOM4J;PSEUD;1284788;182.00;20;27
DOM4J;PSEUD;1284585;183.00;21;27
DOM4J;PSEUD;1283712;184.00;22;27
DOM4J;PSEUD;1286254;183.00;23;27
DOM4J;PSEUD;1286847;182.00;24;27
DOM4J;PSEUD;1286598;182.00;25;27
DOM4J;PSEUD;1287239;180.00;26;27
DOM4J;PSEUD;1284650;180.00;27;27
DOM4J;PSEUD;1287299;183.00;28;26
DOM4J;PSEUD;1285210;183.00;29;27
DOM4J;SOBOL;1226709;183.00;0;5
JXLSREADER;PSEUD;546;26.00;0;187
JXLSREADER;PSEUD;547;26.00;1;185
JXLSREADER;PSEUD;546;26.00;2;183
JXLSREADER;PSEUD;547;26.00;3;182
JXLSREADER;PSEUD;546;26.00;4;184
JXLSREADER;PSEUD;547;26.00;5;184
JXLSREADER;PSEUD;530;26.00;6;188
JXLSREADER;PSEUD;563;26.00;7;183
JXLSREADER;PSEUD;530;26.00;8;188
JXLSREADER;PSEUD;531;26.00;9;189
JXLSREADER;PSEUD;546;26.00;10;186
JXLSREADER;PSEUD;547;26.00;11;183
JXLSREADER;PSEUD;546;26.00;12;187
JXLSREADER;PSEUD;547;26.00;13;184
JXLSREADER;PSEUD;546;26.00;14;185
JXLSREADER;PSEUD;547;26.00;15;183
JXLSREADER;PSEUD;546;26.00;16;183
JXLSREADER;PSEUD;547;26.00;17;187
JXLSREADER;PSEUD;546;26.00;18;188
JXLSREADER;PSEUD;547;26.00;19;187
JXLSREADER;PSEUD;546;26.00;20;182
JXLSREADER;PSEUD;547;26.00;21;189
JXLSREADER;PSEUD;546;26.00;22;184
JXLSREADER;PSEUD;547;26.00;23;185
JXLSREADER;PSEUD;546;26.00;24;184
JXLSREADER;PSEUD;547;26.00;25;186
JXLSREADER;PSEUD;546;26.00;26;187
JXLSREADER;PSEUD;547;26.00;27;184
JXLSREADER;PSEUD;546;26.00;28;184
JXLSREADER;PSEUD;547;26.00;29;186
JXLSREADER;SOBOL;547;26.00;0;179
XMLDOM;PSEUD;178779;46.00;0;68
XMLDOM;PSEUD;178811;45.00;1;68
XMLDOM;PSEUD;178873;44.00;2;68
XMLDOM;PSEUD;178746;45.00;3;68
XMLDOM;PSEUD;178779;45.00;4;67
XMLDOM;PSEUD;178826;44.00;5;69
XMLDOM;PSEUD;178778;45.00;6;68
XMLDOM;PSEUD;183682;44.00;7;68
XMLDOM;PSEUD;185031;44.00;8;67
XMLDOM;PSEUD;179292;45.00;9;69
XMLDOM;PSEUD;179199;46.00;10;68
XMLDOM;PSEUD;179136;44.00;11;67
XMLDOM;PSEUD;179152;44.00;12;69
XMLDOM;PSEUD;179152;45.00;13;69
XMLDOM;PSEUD;179370;45.00;14;68
XMLDOM;PSEUD;179105;45.00;15;67
XMLDOM;PSEUD;179104;45.00;16;68
XMLDOM;PSEUD;179277;44.00;17;68
XMLDOM;PSEUD;179308;44.00;18;69
XMLDOM;PSEUD;179073;45.00;19;68
XMLDOM;PSEUD;179182;45.00;20;68
XMLDOM;PSEUD;179137;45.00;21;67
XMLDOM;PSEUD;179151;46.00;22;68
XMLDOM;PSEUD;179027;44.00;23;68
XMLDOM;PSEUD;179246;45.00;24;67
XMLDOM;PSEUD;179184;46.00;25;67
XMLDOM;PSEUD;179217;45.00;26;68
XMLDOM;PSEUD;179260;46.00;27;67
XMLDOM;PSEUD;179090;46.00;28;68
XMLDOM;PSEUD;179151;45.00;29;68
XMLDOM;SOBOL;167763;42.00;0;14
TINYTIM;PSEUD;295294;133.00;0;34
TINYTIM;PSEUD;295356;135.00;1;34
TINYTIM;PSEUD;294967;135.00;2;34
TINYTIM;PSEUD;295387;133.00;3;35
TINYTIM;PSEUD;294857;136.00;4;34
TINYTIM;PSEUD;295262;134.00;5;34
TINYTIM;PSEUD;295404;135.00;6;33
TINYTIM;PSEUD;295262;134.00;7;33
TINYTIM;PSEUD;295388;133.00;8;34
TINYTIM;PSEUD;295372;133.00;9;35
TINYTIM;PSEUD;295123;134.00;10;34
TINYTIM;PSEUD;295231;136.00;11;34
TINYTIM;PSEUD;295435;134.00;12;34
TINYTIM;PSEUD;295340;134.00;13;34
TINYTIM;PSEUD;295060;134.00;14;35
TINYTIM;PSEUD;295387;134.00;15;34
TINYTIM;PSEUD;295138;135.00;16;34
TINYTIM;PSEUD;295357;134.00;17;34
TINYTIM;PSEUD;295075;134.00;18;35
TINYTIM;PSEUD;295403;134.00;19;35
TINYTIM;PSEUD;295231;134.00;20;34
TINYTIM;PSEUD;295044;135.00;21;34
TINYTIM;PSEUD;295513;134.00;22;34
TINYTIM;PSEUD;295123;135.00;23;34
TINYTIM;PSEUD;295075;133.00;24;35
TINYTIM;PSEUD;295700;136.00;25;34
TINYTIM;PSEUD;295106;135.00;26;34
TINYTIM;PSEUD;295279;134.00;27;34
TINYTIM;PSEUD;295481;136.00;28;34
TINYTIM;PSEUD;295840;134.00;29;34
TINYTIM;SOBOL;286043;133.00;0;9
JUNIT;PSEUD;90295;54.00;0;63
JUNIT;PSEUD;90343;53.00;1;63
JUNIT;PSEUD;90265;54.00;2;64
JUNIT;PSEUD;90249;54.00;3;64
JUNIT;PSEUD;90202;54.00;4;64
JUNIT;PSEUD;90278;54.00;5;65
JUNIT;PSEUD;90374;53.00;6;63
JUNIT;PSEUD;90296;53.00;7;64
JUNIT;PSEUD;90249;54.00;8;63
JUNIT;PSEUD;90374;54.00;9;63
JUNIT;PSEUD;90359;54.00;10;63
JUNIT;PSEUD;90655;54.00;11;64
JUNIT;PSEUD;90372;53.00;12;65
JUNIT;PSEUD;90527;55.00;13;64
JUNIT;PSEUD;90388;53.00;14;64
JUNIT;PSEUD;90419;54.00;15;62
JUNIT;PSEUD;90481;55.00;16;63
JUNIT;PSEUD;90387;54.00;17;63
JUNIT;PSEUD;90450;53.00;18;63
JUNIT;PSEUD;90437;53.00;19;65
JUNIT;PSEUD;90279;54.00;20;62
JUNIT;PSEUD;90342;53.00;21;65
JUNIT;PSEUD;90342;54.00;22;64
JUNIT;PSEUD;90421;54.00;23;63
JUNIT;PSEUD;90405;54.00;24;63
JUNIT;PSEUD;90326;54.00;25;65
JUNIT;PSEUD;90373;53.00;26;64
JUNIT;PSEUD;90466;54.00;27;63
JUNIT;PSEUD;90405;54.00;28;64
JUNIT;PSEUD;90356;54.00;29;64
JUNIT;SOBOL;86114;51.00;0;16
SERVLET;PSEUD;14572;50.00;0;79
SERVLET;PSEUD;14571;50.00;1;78
SERVLET;PSEUD;14556;50.00;2;79
SERVLET;PSEUD;14558;50.00;3;78
SERVLET;PSEUD;14542;50.00;4;79
SERVLET;PSEUD;14558;50.00;5;79
SERVLET;PSEUD;14574;50.00;6;81
SERVLET;PSEUD;14556;50.00;7;80
SERVLET;PSEUD;14557;50.00;8;77
SERVLET;PSEUD;14558;50.00;9;78
SERVLET;PSEUD;14573;50.00;10;78
SERVLET;PSEUD;14556;50.00;11;79
SERVLET;PSEUD;14587;50.00;12;79
SERVLET;PSEUD;14556;50.00;13;79
SERVLET;PSEUD;14556;50.00;14;79
SERVLET;PSEUD;14558;50.00;15;80
SERVLET;PSEUD;14524;50.00;16;80
SERVLET;PSEUD;14572;50.00;17;79
SERVLET;PSEUD;14571;50.00;18;79
SERVLET;PSEUD;14572;50.00;19;80
SERVLET;PSEUD;14540;50.00;20;78
SERVLET;PSEUD;14557;50.00;21;79
SERVLET;PSEUD;14571;50.00;22;80
SERVLET;PSEUD;14572;50.00;23;79
SERVLET;PSEUD;14558;50.00;24;79
SERVLET;PSEUD;14571;50.00;25;80
SERVLET;PSEUD;14572;50.00;26;80
SERVLET;PSEUD;14572;50.00;27;79
SERVLET;PSEUD;14556;50.00;28;79
SERVLET;PSEUD;14542;50.00;29;79
SERVLET;SOBOL;14852;50.00;0;42
JPASSWORD;PSEUD;77720;90.00;0;51
JPASSWORD;PSEUD;77751;91.00;1;51
JPASSWORD;PSEUD;77845;91.00;2;50
JPASSWORD;PSEUD;77752;92.00;3;51
JPASSWORD;PSEUD;77689;91.00;4;51
JPASSWORD;PSEUD;77751;91.00;5;51
JPASSWORD;PSEUD;77752;92.00;6;50
JPASSWORD;PSEUD;77751;92.00;7;50
JPASSWORD;PSEUD;77705;92.00;8;51
JPASSWORD;PSEUD;77721;92.00;9;51
JPASSWORD;PSEUD;77798;90.00;10;51
JPASSWORD;PSEUD;77877;91.00;11;50
JPASSWORD;PSEUD;77611;92.00;12;50
JPASSWORD;PSEUD;77657;91.00;13;50
JPASSWORD;PSEUD;77596;91.00;14;50
JPASSWORD;PSEUD;77627;90.00;15;51
JPASSWORD;PSEUD;77658;91.00;16;50
JPASSWORD;PSEUD;77673;91.00;17;51
JPASSWORD;PSEUD;77643;92.00;18;49
JPASSWORD;PSEUD;77720;92.00;19;49
JPASSWORD;PSEUD;77548;91.00;20;50
JPASSWORD;PSEUD;77643;91.00;21;51
JPASSWORD;PSEUD;77690;91.00;22;50
JPASSWORD;PSEUD;77611;92.00;23;49
JPASSWORD;PSEUD;77597;92.00;24;50
JPASSWORD;PSEUD;77596;90.00;25;50
JPASSWORD;PSEUD;77611;91.00;26;50
JPASSWORD;PSEUD;77580;91.00;27;50
JPASSWORD;PSEUD;77611;91.00;28;50
JPASSWORD;PSEUD;77596;92.00;29;49
JPASSWORD;SOBOL;75365;91.00;0;16
JMETAL;PSEUD;1160674;175.00;0;26
JMETAL;PSEUD;1161706;176.00;1;26
JMETAL;PSEUD;1159894;177.00;2;26
JMETAL;PSEUD;1159863;176.00;3;26
JMETAL;PSEUD;1158352;175.00;4;26
JMETAL;PSEUD;1162064;174.00;5;26
JMETAL;PSEUD;1160567;176.00;6;25
JMETAL;PSEUD;1160614;178.00;7;26
JMETAL;PSEUD;1159301;174.00;8;26
JMETAL;PSEUD;1162923;174.00;9;26
JMETAL;PSEUD;1162515;177.00;10;26
JMETAL;PSEUD;1164638;179.00;11;26
JMETAL;PSEUD;1163250;178.00;12;26
JMETAL;PSEUD;1162188;177.00;13;26
JMETAL;PSEUD;1163624;179.00;14;25
JMETAL;PSEUD;1161439;176.00;15;26
JMETAL;PSEUD;1160817;177.00;16;26
JMETAL;PSEUD;1163624;175.00;17;26
JMETAL;PSEUD;1164980;177.00;18;25
JMETAL;PSEUD;1162843;177.00;19;26
JMETAL;PSEUD;1162328;176.00;20;27
JMETAL;PSEUD;1162796;177.00;21;26
JMETAL;PSEUD;1162359;175.00;22;26
JMETAL;PSEUD;1160019;175.00;23;26
JMETAL;PSEUD;1162172;177.00;24;26
JMETAL;PSEUD;1159598;173.00;25;26
JMETAL;PSEUD;1160255;174.00;26;26
JMETAL;PSEUD;1159519;174.00;27;26
JMETAL;PSEUD;1162156;177.00;28;26
JMETAL;PSEUD;1163920;176.00;29;25
JMETAL;SOBOL;1113297;176.00;0;7
JAVACC;PSEUD;499823;153.00;0;27
JAVACC;PSEUD;499516;155.00;1;27
JAVACC;PSEUD;499250;155.00;2;27
JAVACC;PSEUD;499391;157.00;3;27
JAVACC;PSEUD;498968;155.00;4;27
JAVACC;PSEUD;499157;153.00;5;26
JAVACC;PSEUD;499407;153.00;6;27
JAVACC;PSEUD;499686;155.00;7;27
JAVACC;PSEUD;499171;155.00;8;27
JAVACC;PSEUD;499953;155.00;9;27
JAVACC;PSEUD;499701;157.00;10;27
JAVACC;PSEUD;500247;154.00;11;27
JAVACC;PSEUD;499966;157.00;12;27
JAVACC;PSEUD;499953;154.00;13;27
JAVACC;PSEUD;499750;155.00;14;26
JAVACC;PSEUD;499873;154.00;15;27
JAVACC;PSEUD;499888;154.00;16;27
JAVACC;PSEUD;499607;155.00;17;27
JAVACC;PSEUD;499531;155.00;18;26
JAVACC;PSEUD;499638;154.00;19;27
JAVACC;PSEUD;501166;156.00;20;27
JAVACC;PSEUD;500466;152.00;21;27
JAVACC;PSEUD;499873;152.00;22;27
JAVACC;PSEUD;500106;155.00;23;27
JAVACC;PSEUD;499982;154.00;24;26
JAVACC;PSEUD;499532;154.00;25;27
JAVACC;PSEUD;500123;155.00;26;27
JAVACC;PSEUD;500497;153.00;27;27
JAVACC;PSEUD;499670;156.00;28;26
JAVACC;PSEUD;499688;154.00;29;27
JAVACC;SOBOL;478733;155.00;0;8
JODAMONEY;PSEUD;484;28.00;0;187
JODAMONEY;PSEUD;468;28.00;1;182
JODAMONEY;PSEUD;468;28.00;2;182
JODAMONEY;PSEUD;485;28.00;3;180
JODAMONEY;PSEUD;468;28.00;4;182
JODAMONEY;PSEUD;468;28.00;5;183
JODAMONEY;PSEUD;484;28.00;6;184
JODAMONEY;PSEUD;468;28.00;7;181
JODAMONEY;PSEUD;468;28.00;8;183
JODAMONEY;PSEUD;469;28.00;9;183
JODAMONEY;PSEUD;485;28.00;10;184
JODAMONEY;PSEUD;468;28.00;11;183
JODAMONEY;PSEUD;468;28.00;12;182
JODAMONEY;PSEUD;484;28.00;13;183
JODAMONEY;PSEUD;484;28.00;14;183
JODAMONEY;PSEUD;468;28.00;15;181
JODAMONEY;PSEUD;484;28.00;16;180
JODAMONEY;PSEUD;468;28.00;17;179
JODAMONEY;PSEUD;484;28.00;18;181
JODAMONEY;PSEUD;469;28.00;19;181
JODAMONEY;PSEUD;484;28.00;20;181
JODAMONEY;PSEUD;469;28.00;21;181
JODAMONEY;PSEUD;484;28.00;22;180
JODAMONEY;PSEUD;483;28.00;23;182
JODAMONEY;PSEUD;469;28.00;24;179
JODAMONEY;PSEUD;484;28.00;25;182
JODAMONEY;PSEUD;468;28.00;26;182
JODAMONEY;PSEUD;484;28.00;27;183
JODAMONEY;PSEUD;468;28.00;28;184
JODAMONEY;PSEUD;468;28.00;29;181
JODAMONEY;SOBOL;483;28.00;0;175
