Academico10,0,4,3.7914691943127963
Academico10,0,5,3.7914691943127963
Academico10,0,22,8.056872037914692
Academico10,0,23,8.056872037914692
Academico10,0,24,8.056872037914692
Academico10,0,40,3.7914691943127963
Academico10,0,63,8.056872037914692
Academico10,0,1197,10.42654028436019
Academico10,0,1198,10.42654028436019
Academico10,0,1218,8.530805687203792
Academico10,0,1219,10.42654028436019
Academico10,0,1225,10.42654028436019
Academico10,0,1238,10.42654028436019
Academico10,1,5,3.7914691943127963
Academico10,1,6,3.7914691943127963
Academico10,1,18,8.056872037914692
Academico10,1,19,8.056872037914692
Academico10,1,21,8.056872037914692
Academico10,1,31,3.7914691943127963
Academico10,1,59,8.056872037914692
Academico10,1,184,8.530805687203792
Academico10,1,185,8.530805687203792
Academico10,1,199,8.530805687203792
Academico10,1,211,10.42654028436019
Academico10,1,212,10.42654028436019
Academico10,1,226,10.42654028436019
Academico10,1,238,8.530805687203792
Academico10,1,244,10.42654028436019
Academico10,1,252,10.42654028436019
Academico10,2,8,3.7914691943127963
Academico10,2,9,3.7914691943127963
Academico10,2,49,3.7914691943127963
Academico10,2,2237,8.056872037914692
Academico10,2,2238,8.056872037914692
Academico10,2,2274,8.056872037914692
Academico10,2,2278,8.056872037914692
Academico10,2,6167,8.530805687203792
Academico10,2,6168,8.530805687203792
Academico10,2,6190,10.42654028436019
Academico10,2,6191,10.42654028436019
Academico10,2,6204,10.42654028436019
Academico10,2,6213,8.530805687203792
Academico10,2,6224,10.42654028436019
Academico10,2,6231,10.42654028436019
Academico10,3,7,10.42654028436019
Academico10,3,8,10.42654028436019
Academico10,3,17,10.42654028436019
Academico10,3,24,10.42654028436019
Academico10,3,48,10.42654028436019
Academico10,4,6,1.8957345971563981
Academico10,4,7,1.8957345971563981
Academico10,4,18,5.687203791469194
Academico10,4,19,5.687203791469194
Academico10,4,22,5.687203791469194
Academico10,4,30,1.8957345971563981
Academico10,4,54,5.687203791469194
Academico10,4,59,5.687203791469194
Academico10,4,452,8.056872037914692
Academico10,4,453,8.056872037914692
Academico10,4,457,8.056872037914692
Academico10,4,493,8.056872037914692
Academico10,4,1079,10.42654028436019
Academico10,4,1080,10.42654028436019
Academico10,4,1085,10.42654028436019
Academico10,4,1093,10.42654028436019
Academico10,4,1120,10.42654028436019
Academico10,5,10,8.530805687203792
Academico10,5,11,8.530805687203792
Academico10,5,35,10.42654028436019
Academico10,5,36,10.42654028436019
Academico10,5,43,10.42654028436019
Academico10,5,60,8.530805687203792
Academico10,5,70,10.42654028436019
Academico10,5,76,10.42654028436019
Academico10,6,5,5.687203791469194
Academico10,6,6,5.687203791469194
Academico10,6,12,5.687203791469194
Academico10,6,15,5.687203791469194
Academico10,6,46,5.687203791469194
Academico10,6,447,8.056872037914692
Academico10,6,448,8.056872037914692
Academico10,6,481,8.056872037914692
Academico10,6,488,8.056872037914692
Academico10,6,2194,8.530805687203792
Academico10,6,2195,8.530805687203792
Academico10,6,2207,8.530805687203792
Academico10,6,2208,10.42654028436019
Academico10,6,2209,10.42654028436019
Academico10,6,2221,10.42654028436019
Academico10,6,2222,8.530805687203792
Academico10,6,2235,10.42654028436019
Academico10,6,2249,10.42654028436019
Academico10,7,4,4.739336492890995
Academico10,7,5,4.739336492890995
Academico10,7,25,4.739336492890995
Academico10,7,40,4.739336492890995
Academico10,7,45,4.739336492890995
Academico10,7,113,8.530805687203792
Academico10,7,114,8.530805687203792
Academico10,7,140,10.42654028436019
Academico10,7,141,10.42654028436019
Academico10,7,166,10.42654028436019
Academico10,7,167,8.530805687203792
Academico10,7,171,10.42654028436019
Academico10,7,181,10.42654028436019
Academico10,8,1,10.42654028436019
Academico10,9,1,3.7914691943127963
Academico10,9,27,4.739336492890995
Academico10,9,28,4.739336492890995
Academico10,9,46,4.739336492890995
Academico10,9,62,4.739336492890995
Academico10,9,68,4.739336492890995
Academico10,9,1097,8.056872037914692
Academico10,9,1098,8.056872037914692
Academico10,9,1136,8.056872037914692
Academico10,9,1138,8.056872037914692
Academico10,9,8305,10.42654028436019
Academico10,9,8306,10.42654028436019
Academico10,9,8319,10.42654028436019
Academico10,9,8332,10.42654028436019
Academico10,9,8346,10.42654028436019
Academico20,0,1,7.5829383886255926
Academico20,0,9,11.374407582938389
Academico20,0,10,11.374407582938389
Academico20,0,17,11.374407582938389
Academico20,0,31,11.374407582938389
Academico20,0,36,11.374407582938389
Academico20,0,38,11.374407582938389
Academico20,0,43,8.530805687203792
Academico20,0,46,11.374407582938389
Academico20,0,50,11.374407582938389
Academico20,0,256,15.165876777251185
Academico20,0,257,15.165876777251185
Academico20,0,264,15.165876777251185
Academico20,0,272,15.165876777251185
Academico20,0,283,15.165876777251185
Academico20,0,296,15.165876777251185
Academico20,0,297,15.165876777251185
Academico20,0,1900,21.327014218009477
Academico20,0,1901,21.327014218009477
Academico20,0,1906,21.327014218009477
Academico20,0,1921,21.327014218009477
Academico20,0,1931,21.327014218009477
Academico20,0,1939,18.48341232227488
Academico20,0,1940,17.53554502369668
Academico20,0,1941,21.327014218009477
Academico20,0,2785,22.748815165876778
Academico20,0,2786,22.748815165876778
Academico20,0,2791,22.748815165876778
Academico20,0,2796,26.540284360189574
Academico20,0,2797,26.540284360189574
Academico20,0,2802,26.540284360189574
Academico20,0,2807,22.748815165876778
Academico20,0,2817,26.540284360189574
Academico20,0,2827,26.540284360189574
Academico20,0,2828,26.540284360189574
Academico20,0,2835,26.540284360189574
Academico20,0,2837,26.540284360189574
Academico20,0,480676,27.01421800947867
Academico20,0,480677,27.01421800947867
